Goal,Diet Type,Workout Type,Day,Meal Type,Recipe,Calories (kcal),Protein (g),Carbs (g),Fats (g),Exercise Plan,Instruction,Beauty Goal,Beauty Drink Recommendation,Beauty Food Focus,Beauty Care Instruction,,,url
Weight Loss,Non-Vegetarian,Home,Day 7,Dinner,Grilled Chicken Salad,592,43.2,63.8,24.9,Cardio,Weight Loss focused training,Clear Skin,Green tea,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 12,Breakfast,Dal & Rice,569,29.5,63.1,19.5,Cardio,Weight Loss focused training,Reduce Pimples,Coconut water,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 4,Snack,Egg Omelette,744,10.8,27.6,11.1,Yoga,Weight Maintain focused training,Reduce Pimples,Green tea,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 4,Breakfast,Grilled Chicken Salad,342,30.8,69.2,17.4,Cardio,Weight Loss focused training,Glowing Skin,Green tea,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 16,Lunch,Grilled Chicken Salad,631,26.9,53.3,13.5,Stretching,Weight Gain focused training,Glowing Skin,Carrot juice,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 10,Breakfast,Chickpea Salad,649,15.3,34.2,20,Stretching,Weight Loss focused training,Fresh Blood Circulation,Green tea,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 25,Lunch,Chickpea Salad,424,29.2,83.3,15.2,Strength Training,Weight Loss focused training,Anti-Aging,Green tea,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 3,Lunch,Chickpea Salad,502,18.3,69,16.9,Yoga,Weight Loss focused training,Hair Growth,Warm lemon water,Omega-3 rich foods,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 24,Lunch,Grilled Chicken Salad,555,27.6,34,12.5,Strength Training,Weight Loss focused training,Glowing Skin,Turmeric milk,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 14,Breakfast,Paneer Bowl,491,30.8,36.3,21.8,Strength Training,Weight Maintain focused training,Fresh Blood Circulation,Turmeric milk,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 19,Snack,Paneer Bowl,725,20.7,52.6,6.9,Stretching,Weight Loss focused training,Hair Growth,Turmeric milk,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 27,Dinner,Dal & Rice,373,15.4,29.5,22.3,Stretching,Weight Gain focused training,Glowing Skin,Green tea,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 24,Breakfast,Vegan Smoothie,409,43.3,88.9,22.7,HIIT,Weight Loss focused training,Reduce Pimples,Beetroot juice,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 5,Breakfast,Quinoa Salad,660,10.1,68.3,11.8,Cardio,Weight Maintain focused training,Clear Skin,Green tea,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 30,Dinner,Lentil Soup,437,29,78.2,9.6,Cardio,Weight Loss focused training,Hair Growth,Green tea,Leafy greens,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Hybrid,Day 20,Breakfast,Dal & Rice,423,30.1,64.1,17.4,Stretching,Weight Maintain focused training,Clear Skin,Coconut water,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 19,Snack,Chicken Rice,719,38.8,49.7,7.7,Cardio,Weight Loss focused training,Fresh Blood Circulation,Coconut water,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 26,Dinner,Tofu Stir Fry,518,13.6,62.2,7.4,Yoga,Weight Maintain focused training,Glowing Skin,Coconut water,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 26,Breakfast,Tofu Stir Fry,424,16.6,79.8,24.9,Stretching,Weight Maintain focused training,Fresh Blood Circulation,Turmeric milk,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Hybrid,Day 18,Snack,Egg Omelette,736,37.9,21.7,6.3,Strength Training,Weight Loss focused training,Hair Growth,Coconut water,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 19,Snack,Vegan Smoothie,617,43.8,45.2,5.4,Yoga,Weight Loss focused training,Hair Growth,Beetroot juice,Omega-3 rich foods,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 1,Snack,Tofu Stir Fry,642,13.9,71.6,24,Cardio,Weight Loss focused training,Hair Growth,Amla juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 29,Breakfast,Lentil Soup,639,29.1,55,26.6,HIIT,Weight Maintain focused training,Fresh Blood Circulation,Amla juice,Nuts & seeds,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Vegan,Home,Day 8,Dinner,Chickpea Salad,424,16.4,87.4,5.4,Strength Training,Weight Loss focused training,Clear Skin,Beetroot juice,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 24,Dinner,Egg Omelette,636,39.7,23.7,18.1,Yoga,Weight Gain focused training,Glowing Skin,Turmeric milk,Citrus fruits,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 22,Breakfast,Fish Curry,461,13.5,49.5,23.6,Strength Training,Weight Maintain focused training,Fresh Blood Circulation,Green tea,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 12,Breakfast,Chickpea Salad,632,29.8,57.6,5.4,HIIT,Weight Gain focused training,Reduce Pimples,Beetroot juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Gym,Day 11,Dinner,Quinoa Salad,526,14.5,34,24.9,Cardio,Weight Maintain focused training,Hair Growth,Amla juice,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 25,Snack,Tofu Stir Fry,299,36.4,75.4,21.8,Strength Training,Weight Gain focused training,Anti-Aging,Coconut water,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 14,Lunch,Quinoa Salad,354,36.1,47.6,7.5,Yoga,Weight Gain focused training,Hair Growth,Beetroot juice,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 16,Snack,Chicken Rice,687,19.3,34.9,16.7,Cardio,Weight Gain focused training,Anti-Aging,Green tea,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 3,Lunch,Tofu Stir Fry,411,12,37.3,17,Strength Training,Weight Loss focused training,Glowing Skin,Warm lemon water,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 13,Lunch,Chicken Rice,582,38.3,67.2,24,HIIT,Weight Gain focused training,Fresh Blood Circulation,Carrot juice,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 18,Snack,Quinoa Salad,340,16.7,77.7,23.5,Yoga,Weight Gain focused training,Hair Growth,Carrot juice,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 24,Dinner,Quinoa Salad,378,40.3,52.6,7.7,Yoga,Weight Maintain focused training,Anti-Aging,Green tea,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 6,Lunch,Grilled Chicken Salad,514,14.6,77.9,25.2,Stretching,Weight Loss focused training,Reduce Pimples,Carrot juice,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 24,Lunch,Veg Khichdi,359,34,87.8,29.6,Stretching,Weight Gain focused training,Hair Growth,Coconut water,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 19,Lunch,Fish Curry,427,24.4,35.8,13.8,HIIT,Weight Loss focused training,Hair Growth,Beetroot juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 2,Snack,Lentil Soup,490,38.5,29.7,26.2,HIIT,Weight Gain focused training,Reduce Pimples,Amla juice,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 9,Snack,Fish Curry,357,26.3,58.2,10.2,Stretching,Weight Gain focused training,Fresh Blood Circulation,Beetroot juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 7,Dinner,Fish Curry,704,19,82.1,17.7,Stretching,Weight Maintain focused training,Reduce Pimples,Beetroot juice,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegan,Gym,Day 12,Lunch,Lentil Soup,746,30.4,85.4,5.8,Stretching,Weight Loss focused training,Anti-Aging,Carrot juice,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 5,Snack,Chicken Rice,260,16.5,42.5,24.7,Strength Training,Weight Maintain focused training,Glowing Skin,Green tea,Leafy greens,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 22,Snack,Fish Curry,407,41,62.8,28.6,Cardio,Weight Maintain focused training,Fresh Blood Circulation,Warm lemon water,Fruits & vegetables,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 14,Breakfast,Oats & Fruits,504,30.6,81.1,27.8,HIIT,Weight Loss focused training,Glowing Skin,Beetroot juice,Leafy greens,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 24,Breakfast,Oats & Fruits,337,10.6,45.7,28.6,Yoga,Weight Gain focused training,Glowing Skin,Beetroot juice,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 6,Breakfast,Tofu Stir Fry,363,16,63.3,21.3,Yoga,Weight Gain focused training,Fresh Blood Circulation,Green tea,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 1,Lunch,Lentil Soup,460,40.1,60.7,28.8,HIIT,Weight Maintain focused training,Fresh Blood Circulation,Turmeric milk,Fruits & vegetables,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 13,Dinner,Veg Khichdi,256,11.2,36.1,16.5,Stretching,Weight Loss focused training,Anti-Aging,Warm lemon water,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 23,Breakfast,Chicken Rice,718,30.6,45.2,10.8,Strength Training,Weight Loss focused training,Clear Skin,Turmeric milk,Leafy greens,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Hybrid,Day 10,Snack,Chickpea Salad,736,36.1,49,23.1,Stretching,Weight Maintain focused training,Clear Skin,Turmeric milk,Citrus fruits,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 16,Dinner,Quinoa Salad,690,16.1,72.4,15,Stretching,Weight Loss focused training,Anti-Aging,Carrot juice,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 9,Breakfast,Fish Curry,450,12.8,53.1,9.1,Strength Training,Weight Gain focused training,Fresh Blood Circulation,Amla juice,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Fish%20Curry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 26,Breakfast,Grilled Chicken Salad,568,28.7,80.7,18.5,HIIT,Weight Maintain focused training,Anti-Aging,Beetroot juice,Nuts & seeds,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Hybrid,Day 17,Lunch,Grilled Chicken Salad,743,21.4,62.6,6.7,Strength Training,Weight Gain focused training,Hair Growth,Amla juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Gym,Day 10,Breakfast,Quinoa Salad,451,36.8,21.3,7.2,Strength Training,Weight Gain focused training,Glowing Skin,Beetroot juice,Omega-3 rich foods,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 13,Lunch,Tofu Stir Fry,275,21.8,75.9,11,HIIT,Weight Gain focused training,Fresh Blood Circulation,Turmeric milk,Fruits & vegetables,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 10,Snack,Tofu Stir Fry,316,29.3,85.9,9.7,Yoga,Weight Maintain focused training,Reduce Pimples,Carrot juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Hybrid,Day 29,Dinner,Egg Omelette,536,40.5,30.8,11.3,Yoga,Weight Maintain focused training,Glowing Skin,Green tea,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 1,Breakfast,Vegan Smoothie,284,30.3,88.2,9.7,Strength Training,Weight Gain focused training,Hair Growth,Carrot juice,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 2,Lunch,Vegan Smoothie,569,14.5,58.9,8.3,HIIT,Weight Gain focused training,Reduce Pimples,Turmeric milk,Leafy greens,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Gym,Day 4,Snack,Veg Khichdi,563,39.7,41.2,9.7,HIIT,Weight Maintain focused training,Fresh Blood Circulation,Green tea,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Home,Day 21,Breakfast,Chickpea Salad,269,22.9,62.6,19.5,Stretching,Weight Maintain focused training,Reduce Pimples,Carrot juice,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 14,Snack,Paneer Bowl,414,25.3,77.8,21.9,Cardio,Weight Loss focused training,Clear Skin,Turmeric milk,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Home,Day 26,Lunch,Egg Omelette,524,29.3,35.7,13.1,Cardio,Weight Loss focused training,Glowing Skin,Green tea,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 1,Breakfast,Quinoa Salad,256,23.8,46.4,15.6,Strength Training,Weight Loss focused training,Fresh Blood Circulation,Carrot juice,Nuts & seeds,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 9,Snack,Vegan Smoothie,633,37.5,61.7,20.7,Yoga,Weight Gain focused training,Reduce Pimples,Warm lemon water,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 11,Dinner,Lentil Soup,359,43.9,22.2,17.4,Cardio,Weight Loss focused training,Fresh Blood Circulation,Turmeric milk,Omega-3 rich foods,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Loss,Non-Vegetarian,Gym,Day 23,Snack,Grilled Chicken Salad,616,30.6,53.2,21.5,Cardio,Weight Loss focused training,Fresh Blood Circulation,Green tea,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Grilled%20Chicken%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 10,Dinner,Lentil Soup,544,24.7,80.9,25.1,Yoga,Weight Loss focused training,Fresh Blood Circulation,Warm lemon water,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Home,Day 27,Snack,Egg Omelette,642,18.1,30.1,29.2,HIIT,Weight Maintain focused training,Hair Growth,Warm lemon water,Nuts & seeds,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 8,Snack,Vegan Smoothie,400,35.2,37.4,19.9,Cardio,Weight Loss focused training,Anti-Aging,Warm lemon water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 6,Snack,Chicken Rice,354,22.7,72.3,12.5,Stretching,Weight Maintain focused training,Reduce Pimples,Carrot juice,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Hybrid,Day 15,Snack,Paneer Bowl,487,12.8,71.1,20.7,Cardio,Weight Loss focused training,Reduce Pimples,Turmeric milk,Fruits & vegetables,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 10,Breakfast,Vegan Smoothie,445,12.8,20.5,19.9,Cardio,Weight Gain focused training,Glowing Skin,Warm lemon water,Omega-3 rich foods,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 17,Lunch,Dal & Rice,327,22.9,53.4,19.5,Cardio,Weight Maintain focused training,Reduce Pimples,Green tea,Fruits & vegetables,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegan,Hybrid,Day 17,Dinner,Chickpea Salad,371,38,33.1,24.3,Strength Training,Weight Loss focused training,Anti-Aging,Amla juice,Fruits & vegetables,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 24,Snack,Dal & Rice,498,24.4,65,28.3,HIIT,Weight Loss focused training,Fresh Blood Circulation,Amla juice,Citrus fruits,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Dal%20%26%20Rice%20food&w=400&h=400&c=7
Weight Gain,Vegan,Gym,Day 16,Lunch,Lentil Soup,378,38.8,23,25.5,Cardio,Weight Gain focused training,Reduce Pimples,Coconut water,Nuts & seeds,Daily face cleansing,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 11,Dinner,Lentil Soup,689,11.2,82.4,7.4,HIIT,Weight Gain focused training,Fresh Blood Circulation,Beetroot juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Lentil%20Soup%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 8,Lunch,Chickpea Salad,553,28.6,24.1,18.6,Strength Training,Weight Gain focused training,Hair Growth,Warm lemon water,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Maintain,Vegetarian,Home,Day 22,Lunch,Quinoa Salad,448,38.6,27,29.2,Yoga,Weight Maintain focused training,Clear Skin,Amla juice,Citrus fruits,Include antioxidants,,,https://tse2.mm.bing.net/th?q=Quinoa%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegan,Hybrid,Day 16,Snack,Vegan Smoothie,338,22.4,52.3,13.8,Cardio,Weight Gain focused training,Glowing Skin,Amla juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Gym,Day 18,Lunch,Egg Omelette,575,32.7,66.3,7.3,Cardio,Weight Gain focused training,Fresh Blood Circulation,Amla juice,Nuts & seeds,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Egg%20Omelette%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 19,Snack,Chickpea Salad,273,43.6,82.2,21.2,Strength Training,Weight Maintain focused training,Clear Skin,Amla juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Chickpea%20Salad%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Hybrid,Day 26,Lunch,Oats & Fruits,589,37.4,86.1,18.9,Cardio,Weight Gain focused training,Glowing Skin,Coconut water,Leafy greens,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Gain,Non-Vegetarian,Home,Day 16,Breakfast,Chicken Rice,542,15.5,66,26.8,Yoga,Weight Gain focused training,Clear Skin,Green tea,Omega-3 rich foods,Drink 2–3L water daily,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Maintain,Vegan,Gym,Day 18,Snack,Vegan Smoothie,506,25.7,52.4,23,Yoga,Weight Maintain focused training,Hair Growth,Amla juice,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Vegan%20Smoothie%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Gym,Day 12,Lunch,Oats & Fruits,723,15.8,87.3,11.8,Yoga,Weight Loss focused training,Fresh Blood Circulation,Green tea,Fruits & vegetables,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Oats%20%26%20Fruits%20food&w=400&h=400&c=7
Weight Maintain,Non-Vegetarian,Gym,Day 25,Dinner,Chicken Rice,336,43.4,78.9,27.4,Yoga,Weight Maintain focused training,Anti-Aging,Carrot juice,Omega-3 rich foods,Regular exercise & sweating,,,https://tse2.mm.bing.net/th?q=Chicken%20Rice%20food&w=400&h=400&c=7
Weight Loss,Vegetarian,Home,Day 25,Snack,Paneer Bowl,457,34.2,40,23.4,Stretching,Weight Loss focused training,Hair Growth,Amla juice,Citrus fruits,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Paneer%20Bowl%20food&w=400&h=400&c=7
Weight Gain,Vegan,Home,Day 16,Dinner,Tofu Stir Fry,485,24.3,30.8,29.5,Yoga,Weight Gain focused training,Hair Growth,Beetroot juice,Citrus fruits,Sleep 7–8 hours,,,https://tse2.mm.bing.net/th?q=Tofu%20Stir%20Fry%20food&w=400&h=400&c=7
Weight Gain,Vegetarian,Home,Day 30,Lunch,Veg Khichdi,684,14.4,76.1,28,Stretching,Weight Gain focused training,Fresh Blood Circulation,Amla juice,Fruits & vegetables,Avoid sugar & junk food,,,https://tse2.mm.bing.net/th?q=Veg%20Khichdi%20food&w=400&h=400&c=7
